"ip","time","path","useragent","source"
"108.162.226.243","2025-11-27T00:45:03Z","/wp-content/plugins/fix/up.php","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36","plugin_php"
"108.162.226.4","2025-11-27T01:07:01Z","//wp-content/plugins/about.php","Go-http-client/2.0","plugin_php"
"162.158.107.68","2025-11-27T01:07:05Z","//wp-content/plugins/deu/ms.php","Go-http-client/2.0","plugin_php"
"172.69.166.56","2025-11-27T01:07:06Z","//wp-content/plugins/dummyyummy/wp-signup.php","Go-http-client/2.0","plugin_php"
"162.158.107.67","2025-11-27T01:07:11Z","//wp-content/plugins/aafr/uploader.php","Go-http-client/2.0","plugin_php"
"162.158.108.51","2025-11-27T01:07:12Z","//wp-content/plugins/hanau/akc.php","Go-http-client/2.0","plugin_php"
"162.158.170.18","2025-11-27T01:07:12Z","//wp-content/plugins/WordPressCore/include.php","Go-http-client/2.0","plugin_php"
"108.162.226.4","2025-11-27T01:07:17Z","//wp-content/plugins/ioxi/ioxi/dropdown.php","Go-http-client/2.0","plugin_php"
"172.68.164.118","2025-11-27T01:07:22Z","//wp-content/plugins/shell/noimg.php","Go-http-client/2.0","plugin_php"
"108.162.226.4","2025-11-27T01:07:23Z","//wp-content/plugins/index.php","Go-http-client/2.0","plugin_php"
"172.68.164.118","2025-11-27T01:07:25Z","//wp-content/plugins/view-source/ioxi-o2.php","Go-http-client/2.0","plugin_php"
"172.70.93.53","2025-11-27T01:07:30Z","//wp-content/plugins/core-plugin/include.php","Go-http-client/2.0","plugin_php"
"172.71.124.28","2025-11-27T01:07:46Z","//wp-content/plugins/linkpreview/db.php?u","Go-http-client/2.0","plugin_php"
"172.71.124.29","2025-11-27T01:07:49Z","//wp-content/plugins/three-column-screen-layout/db.php?u","Go-http-client/2.0","plugin_php"
"162.158.108.51","2025-11-27T01:07:51Z","//wp-content/plugins/seoplugins/mar.php","Go-http-client/2.0","plugin_php"
"172.71.81.221","2025-11-27T01:07:53Z","//wp-content/plugins/fix/up.php","Go-http-client/2.0","plugin_php"
"162.158.189.152","2025-11-27T01:07:54Z","//wp-content/plugins/clara/clara.php","Go-http-client/2.0","plugin_php"
"172.69.166.57","2025-11-27T01:07:58Z","//wp-content/plugins/phpad/as.php","Go-http-client/2.0","plugin_php"
"162.158.88.69","2025-11-27T01:08:00Z","//wp-content/plugins/view-ad/ms.php","Go-http-client/2.0","plugin_php"
"172.70.188.70","2025-11-27T01:08:04Z","//wp-content/plugins/dzs-zoomsounds/1877.php","Go-http-client/2.0","plugin_php"
"172.71.124.28","2025-11-27T01:08:06Z","//wp-content/plugins/Cache/Cache.php","Go-http-client/2.0","plugin_php"
"162.158.88.69","2025-11-27T01:08:07Z","//wp-content/plugins/seoplugins/db.php?u","Go-http-client/2.0","plugin_php"
"172.69.166.57","2025-11-27T01:08:09Z","//wp-content/plugins/flex/alfa.php","Go-http-client/2.0","plugin_php"
"162.158.189.152","2025-11-27T01:08:11Z","//wp-content/plugins/Core-Econ/upH.php","Go-http-client/2.0","plugin_php"
"172.69.166.57","2025-11-27T01:08:17Z","//wp-content/plugins/phpadmin/acp.php","Go-http-client/2.0","plugin_php"
"172.69.166.57","2025-11-27T01:08:19Z","//wp-content/plugins/TOPXOH/wDR.php","Go-http-client/2.0","plugin_php"
"162.158.162.153","2025-11-27T01:08:22Z","//wp-content/plugins/init-help/init.php","Go-http-client/2.0","plugin_php"
"172.70.188.70","2025-11-27T01:08:24Z","//wp-content/plugins/hello.php","Go-http-client/2.0","plugin_php"
"162.158.170.18","2025-11-27T01:08:27Z","//wp-content/plugins/press/wp-class.php","Go-http-client/2.0","plugin_php"
"162.158.189.153","2025-11-27T01:08:33Z","//wp-content/plugins/wpcall-button/button-image.php","Go-http-client/2.0","plugin_php"
"172.68.164.118","2025-11-27T01:08:39Z","//wp-content/plugins/linkpreview/index.php","Go-http-client/2.0","plugin_php"
"104.23.175.74","2025-11-27T01:08:44Z","//wp-content/plugins/apikey/b1ack.php","Go-http-client/2.0","plugin_php"
"172.71.81.222","2025-11-27T01:08:50Z","//wp-content/plugins/pwnd-1/pwnd.php","Go-http-client/2.0","plugin_php"
"162.158.189.153","2025-11-27T01:08:54Z","//wp-content/plugins/yanierin/akcc.php","Go-http-client/2.0","plugin_php"
"162.158.170.18","2025-11-27T01:08:58Z","//wp-content/plugins/pwnd/pwnd.php","Go-http-client/2.0","plugin_php"
"172.68.164.118","2025-11-27T01:09:00Z","//wp-content/plugins/kontol-1/wp-crom.php","Go-http-client/2.0","plugin_php"
"162.158.170.18","2025-11-27T01:09:01Z","//wp-content/plugins/kontol/wp-crom.php","Go-http-client/2.0","plugin_php"
"172.69.166.56","2025-11-27T01:09:09Z","//wp-content/plugins/simple-file-list/ee-upload-engine.php","Go-http-client/2.0","plugin_php"
"162.158.108.51","2025-11-27T01:09:10Z","//wp-content/plugins/age-restriction/modules/remote_support/remote_init.php","Go-http-client/2.0","plugin_php"
"162.158.170.18","2025-11-27T01:09:11Z","//wp-content/plugins/Nxploit/index.php?cmd=COMMAND","Go-http-client/2.0","plugin_php"
"172.68.164.118","2025-11-27T01:09:12Z","//wp-content/plugins/SecurityFin/SecurityFin.php","Go-http-client/2.0","plugin_php"
"162.158.107.67","2025-11-27T01:09:13Z","//wp-content/plugins/anubiss/fm.php","Go-http-client/2.0","plugin_php"
"172.68.164.118","2025-11-27T01:09:14Z","//wp-content/plugins/woocommerce-dashboard/1.php","Go-http-client/2.0","plugin_php"
"162.158.170.18","2025-11-27T01:09:15Z","//wp-content/plugins/woocommerce-homepage/1.php","Go-http-client/2.0","plugin_php"
"172.70.188.70","2025-11-27T01:09:16Z","//wp-content/plugins/schema/yanz.php","Go-http-client/2.0","plugin_php"
"162.158.162.153","2025-11-27T01:09:17Z","//wp-content/plugins/schema/geckos.php","Go-http-client/2.0","plugin_php"
"172.69.166.56","2025-11-27T01:09:19Z","//wp-content/plugins/wp-file-upload/wfu_file_downloader.php","Go-http-client/2.0","plugin_php"
