"ip","time","path","useragent","source"
"162.158.88.77","2025-10-10T01:55:43Z","/wp-content/plugins/fix/up.php","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36","plugin_php"
"172.71.81.168","2025-10-10T02:12:45Z","/wp-content/plugins/plugins.php?ad=open","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","plugin_php"
"162.158.189.136","2025-10-10T02:19:02Z","/wp-content/plugins/hellopress/wp_filemanager.php","-","plugin_php"
"172.70.208.49","2025-10-10T02:44:48Z","/wp-content/plugins/plugins.php?ad=open","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","plugin_php"
"172.70.208.129","2025-10-10T03:02:06Z","/wp-content/plugins/hellopress/wp_filemanager.php","-","plugin_php"
"162.158.108.45","2025-10-10T03:11:50Z","/wp-content/plugins/fix/up.php","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36","plugin_php"
"108.162.226.169","2025-10-10T03:22:09Z","/wp-content/plugins/hellopress/wp_filemanager.php","-","plugin_php"
"162.158.108.48","2025-10-10T03:35:48Z","/wp-content/plugins/plugins.php?ad=open","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","plugin_php"
"104.23.175.17","2025-10-10T04:23:26Z","/wp-content/plugins/plugins.php?ad=open","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","plugin_php"
"172.70.93.39","2025-10-10T04:27:44Z","/wp-content/plugins/ubh/up.php","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36","plugin_php"
"172.71.81.183","2025-10-10T04:27:45Z","/wp-content/plugins/seoplugins/db.php?u","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36","plugin_php"
